idiom_id,sense_number,register,region,definitions,version,created_at,updated_at,idiom,meaning_id
es_unspecified_0349,3,"[""colloquial""]","[""Spain"",""Latin America""]","[""At the pinnacle of achievement or status; having reached the highest rank or degree."",""Used to describe someone or something that has attained the utmost success or prominence.""]",1,2025-11-15 05:22:42.958468,2025-11-15 05:22:43.145595,al tope,00281901-dedd-4a47-a5f5-3873046be93d
es_unspecified_0709,2,"[""colloquial"",""emphatic""]","[""Spain"",""Latin America""]","[""To cling to or hold on to something stubbornly and tenaciously.""]",1,2025-11-15 05:22:43.268812,2025-11-15 05:22:43.458803,con uñas y dientes,00399cc7-a7b8-48e9-abf0-16bbf21775b6
es_unspecified_1986,2,"[""neutral""]","[""Spain"",""Latin America""]","[""To read out a standard set of instructions, regulations, or formal statements (literalized usage).""]",1,2025-11-15 05:22:44.691016,2025-11-15 05:22:44.824217,leer la cartilla,0039dd83-33c8-4675-86d1-dba3231d7b93
es_unspecified_2617,4,"[""informal"",""colloquial""]","[""Spain"",""Latin America""]","[""Figuratively, shamelessly or undeservedly; as a result of audacity or impudence rather than merit.""]",1,2025-11-15 05:22:45.158279,2025-11-15 05:22:45.315923,por la cara,004e1853-7f61-48cb-a54c-615b0a65640d
es_unspecified_0095,2,"[""technical"",""formal""]","[""Spain"",""Latin America""]","[""With a mute (music): indicating that a note or instrument should be sounded using a mute or dampening device.""]",1,2025-11-15 05:22:42.473779,2025-11-15 05:22:42.802978,a la sordina,00593756-c328-40f7-a485-314840b9d1d1
es_unspecified_2709,1,"[""neutral""]","[""Spain"",""Latin America""]","[""Literal: to remain physically in the same place; not to move from a location.""]",1,2025-11-15 05:22:45.160268,2025-11-15 05:22:45.315923,quedarse en el sitio,0092a2f8-a531-42bc-9033-f2e3173833c7
es_unspecified_2513,2,"[""informal"",""colloquial""]","[""Spain"",""Latin America""]","[""To behave foolishly or clown about; to make a spectacle of oneself by acting in a ridiculous or amusing manner.""]",1,2025-11-15 05:22:45.155633,2025-11-15 05:22:45.315923,pintar la mona,00a04d2b-6b2c-418c-b6d2-1081b9915b31
es_unspecified_0325,4,"[""neutral"",""literal""]","[""Spain"",""Latin America""]","[""On the thread; with respect to actual thread, wire, or cord (used in literal, material contexts).""]",1,2025-11-15 05:22:42.957999,2025-11-15 05:22:43.145595,al hilo,00af882e-5c94-4924-bf3b-0ff8e09aaa17
es_unspecified_3053,2,"[""vulgar"",""colloquial""]","[""Spain""]","[""To bother, annoy, or deliberately aggravate someone; to pester or make life difficult for someone.""]",1,2025-11-15 05:22:45.661179,2025-11-15 05:22:45.784869,tocar los cojones a alguien,00bc9988-ffba-426f-9157-d0a612e25953
es_unspecified_0940,1,"[""colloquial"",""neutral""]","[""Spain"",""Latin America""]","[""Belonging to or associated with the social elite; of high social status."",""Used to describe a person, establishment, or service that is exclusive or associated with wealth and prestige.""]",1,2025-11-15 05:22:43.585173,2025-11-15 05:22:43.752245,de alto standing,00c25e58-a7fc-4ccc-a3c3-e54d3db74ccb
es_unspecified_0490,2,"[""neutral""]","[""Spain"",""Latin America""]","[""Increasingly; more and more (used with comparatives such as 'más').""]",1,2025-11-15 05:22:42.96101,2025-11-15 05:22:43.145595,cada vez,00c92537-a9c8-4864-94eb-a8ac397596ca
es_unspecified_2636,1,"[""informal"",""colloquial""]","[""Spain"",""Latin America""]","[""Barely; by a very small margin; narrowly (used to describe an escape, success, or avoidance).""]",1,2025-11-15 05:22:45.158676,2025-11-15 05:22:45.315923,por los pelos,00d4274a-8820-4825-89db-eeba1f032016
es_unspecified_2089,1,"[""colloquial"",""informal""]","[""Spain"",""Latin America"",""general Spanish""]","[""Idly doing nothing; remaining passive or inactive instead of taking action."",""Waiting without intervening or making an effort to change a situation.""]",1,2025-11-15 05:22:44.693172,2025-11-15 05:22:44.824217,mano sobre mano,00dc6fae-d01d-4a61-96cf-2efb1fba73f0
es_unspecified_0476,2,"[""neutral""]","[""Spain"",""Latin America"",""General Spanish""]","[""A reliable person, tool, or resource used repeatedly to perform heavy or routine work; a 'workhorse'.""]",1,2025-11-15 05:22:42.960803,2025-11-15 05:22:43.145595,caballo de batalla,00dea0d1-5e36-4fec-b642-40c018915bf0
es_unspecified_1120,1,"[""neutral"",""informal""]","[""General Spanish""]","[""Happening or arranged at the last possible moment; last-minute, often implying urgency or a late change.""]",1,2025-11-15 05:22:43.867376,2025-11-15 05:22:44.031553,de última hora,00e17c85-a290-495d-a5c6-e675da673118
es_unspecified_1000,1,"[""colloquial"",""informal"",""slang""]","[""Spain"",""Latin America""]","[""Surreptitiously; in a secret or stealthy manner, without informing others or without official permission."",""To do something on the sly or behind someone's back.""]",1,2025-11-15 05:22:43.586503,2025-11-15 05:22:43.752245,de extranjis,00eaf912-e923-450f-b1a6-21ca6c5b3007
es_unspecified_2137,2,"[""vulgar"",""colloquial"",""informal""]","[""Spain""]","[""Figurative declaration of strong indifference or dismissal equivalent to 'I don't give a damn' or 'I couldn't care less.'""]",1,2025-11-15 05:22:44.693783,2025-11-15 05:22:44.824217,me la suda,00ed6615-6d68-40fb-bbe6-b1b8a93b2462
es_unspecified_1261,1,"[""colloquial""]","[""Spain""]","[""To confront a difficult situation directly; to stop avoiding a problem and face it openly and bravely.""]",1,2025-11-15 05:22:43.86993,2025-11-15 05:22:44.031553,echar la capa al toro,00f04266-4c1b-4bfb-84cc-bef5cc7492c4
es_unspecified_1786,1,"[""neutral"",""formal""]","[""All Spanish-speaking regions""]","[""To take charge of or assume responsibility for managing something (a task, a business, a project).""]",1,2025-11-15 05:22:44.443159,2025-11-15 05:22:44.583114,hacerse cargo,010618f4-5e65-4d6b-a0c9-f901eece258b
es_unspecified_2237,1,"[""neutral"",""colloquial""]","[""Spain"",""Latin America""]","[""Extremely black in color; very dark.""]",1,2025-11-15 05:22:44.926483,2025-11-15 05:22:45.052926,negro como un zapato,01086743-6e2e-489d-85ea-2056226990a9
es_unspecified_1841,1,"[""regional"",""colloquial"",""rare""]","[""Coastal Spain"",""Coastal Latin America""]","[""Soaked or thoroughly drenched, especially as a result of sea spray or rain."",""Figuratively, in a state of having been overwhelmed by water or moisture.""]",1,2025-11-15 05:22:44.444208,2025-11-15 05:22:44.583114,hecho un brazo de mar,010ce971-63b5-40a8-9579-6974c4f01cd2
es_unspecified_1918,1,"[""informal"",""colloquial""]","[""Spain"",""Latin America""]","[""For a plan, enterprise, system, or situation: to go awry, fail, or collapse; to descend into disorder or chaos.""]",1,2025-11-15 05:22:44.445703,2025-11-15 05:22:44.583114,irse al garete,011babe6-d049-4bd9-9bee-8eec40c649f5
es_unspecified_1149,1,"[""informal"",""colloquial""]","[""Pan-Hispanic""]","[""To make no comment; to remain silent; to decline to speak or to refuse to take responsibility for a statement."",""Used (often in the negative form) to indicate that one does not wish or is not permitted to speak about a matter.""]",1,2025-11-15 05:22:43.867757,2025-11-15 05:22:44.031553,decir esta boca es mía,012efb86-a721-4b62-bcd7-aac0d6c2c3ef
es_unspecified_0344,2,"[""neutral"",""colloquial""]","[""Spain"",""Latin America"",""General""]","[""Figuratively, operating slowly or at low activity; functioning in a reduced, sluggish, or standby mode.""]",1,2025-11-15 05:22:42.958357,2025-11-15 05:22:43.145595,al ralentí,013ab540-53b6-449a-9653-20197a8e15ee
es_unspecified_2043,1,"[""informal"",""colloquial""]","[""Spain"",""Latin America""]","[""To cry profusely and uncontrollably, producing loud sobs and nasal discharge; to bawl one’s eyes out."",""To express deep sorrow or distress openly and without restraint.""]",1,2025-11-15 05:22:44.692099,2025-11-15 05:22:44.824217,llorar a moco tendido,013eb2ea-2941-43a6-84fe-83d04e780084
es_unspecified_2902,1,"[""neutral""]","[""General Spanish""]","[""literally, without order or harmony.""]",1,2025-11-15 05:22:45.432326,2025-11-15 05:22:45.560645,sin orden ni concierto,01451d1d-8e49-4d91-80c0-999df4f900f2
es_unspecified_2391,2,"[""neutral"",""literary""]","[""Spain"",""Latin America""]","[""Figuratively: inwardly or to oneself; thinking, feeling, or muttering privately rather than expressing it aloud.""]",1,2025-11-15 05:22:44.92984,2025-11-15 05:22:45.052926,para sus adentros,01521c91-21d9-4b32-abb0-201c33774b8b
es_unspecified_0370,1,"[""informal"",""neutral""]","[""Spain"",""Latin America"",""General Spanish""]","[""To be short of money; to be experiencing financial difficulties.""]",1,2025-11-15 05:22:42.95877,2025-11-15 05:22:43.145595,andar mal de dinero,01524952-1e91-43ed-95bb-0965c280e935
