idiom_id,sense_number,register,region,definitions,version,created_at,updated_at,idiom,meaning_id
id_unspecified_0017,1,"[""neutral""]","[""Indonesia""]","[""Literally 'lacking work': having insufficient work or not enough tasks to occupy oneself.""]",1,2025-11-15 05:25:26.394132,2025-11-15 05:25:26.494881,kurang kerjaan,05574234-dfab-4c21-9b32-9040df605a83
id_unspecified_0037,2,"[""colloquial"",""journalistic""]","[""Indonesia""]","[""A colloquial term for a destructive fire or blaze.""]",1,2025-11-15 05:25:26.394903,2025-11-15 05:25:26.494881,si jago merah,062b32b9-5a62-4532-aaa3-5fd1efec64f0
id_unspecified_0015,2,"[""informal"",""derogatory"",""idiomatic"",""slang""]","[""Indonesia""]","[""A person who pretends to be tough or brave but is actually weak and easily frightened.""]",1,2025-11-15 05:25:26.394066,2025-11-15 05:25:26.494881,koboi cacing,064df3fb-576e-4f51-8130-4feb5b94b125
id_unspecified_0040,1,"[""literal""]","[""Indonesia""]","[""Literally, having a cutting edge that is sharp on the lower side and blunt on the upper side.""]",1,2025-11-15 05:25:26.394938,2025-11-15 05:25:26.494881,"tajam ke bawah, tumpul ke atas",0dbc52b5-d00a-4883-b200-8011e517f6fa
id_unspecified_0029,2,"[""formal"",""legal""]","[""Indonesia""]","[""The criminal or unlawful appropriation of funds or property entrusted to someone; embezzlement.""]",1,2025-11-15 05:25:26.394767,2025-11-15 05:25:26.494881,penggelapan,11f4bfd1-9a82-439b-bc2b-792d82e2f321
id_unspecified_0001,1,"[""neutral"",""literal""]","[""Indonesia"",""Malay""]","[""A literal phrase meaning 'there is a shrimp behind the rock.'""]",1,2025-11-15 05:25:26.393743,2025-11-15 05:25:26.494881,ada udang di balik batu,13ef1270-fd4f-483f-a412-091bd46a76ff
id_unspecified_0008,2,"[""informal"",""idiomatic""]","[""Indonesia""]","[""A casual sexual relationship with no expectation of commitment or continuation; a one-night stand.""]",1,2025-11-15 05:25:26.393877,2025-11-15 05:25:26.494881,cinta satu malam,1404ec56-e0db-433d-844c-380402bbbd4d
id_unspecified_0032,1,"[""neutral""]","[""Indonesian""]","[""literal translation: 'banana republic.'""]",1,2025-11-15 05:25:26.394799,2025-11-15 05:25:26.494881,republik pisang,14a6c3a9-1d46-48be-9385-474b43e4f693
id_unspecified_0044,3,"[""idiomatic"",""colloquial""]","[""Indonesia"",""Malaysia""]","[""To bring an issue to an end or to consider a matter concluded; to stop further discussion, investigation, or action on a topic.""]",1,2025-11-15 05:25:26.395021,2025-11-15 05:25:26.494881,tutup buku,1a382b16-dc4e-45dd-a67c-c712b5de3107
id_unspecified_0002,1,"[""neutral"",""literal""]","[""Indonesia""]","[""A literal proverb meaning 'calm (or still) water carries away,' describing the behavior of water that appears calm on the surface.""]",1,2025-11-15 05:25:26.393767,2025-11-15 05:25:26.494881,air tenang menghanyutkan,1bf60167-3e73-4d7d-918d-37101d0ea079
id_unspecified_0007,1,"[""informal"",""slang"",""nonstandard""]","[""Indonesia""]","[""Colloquial clipped form of 'bodo amat' used to express indifference; 'I don't care'.""]",1,2025-11-15 05:25:26.393859,2025-11-15 05:25:26.494881,bomat,1c36bcaf-c7da-414b-87de-0635f0cb8383
id_unspecified_0002,2,"[""idiomatic"",""proverbial"",""figurative""]","[""Indonesia""]","[""A proverb meaning 'still waters run deep,' used to describe a quiet or reserved person who nonetheless has hidden depth, capability, or potential influence.""]",1,2025-11-15 05:25:26.393777,2025-11-15 05:25:26.494881,air tenang menghanyutkan,1f69eb69-d828-4b05-b1a1-868607f2201a
id_unspecified_0024,1,"[""colloquial"",""internet slang""]","[""Indonesia""]","[""Literally, 'according to you'; a direct phrasing asking for or attributing an opinion to the addressee.""]",1,2025-11-15 05:25:26.394282,2025-11-15 05:25:26.494881,menurut ngana,1fded887-9ae8-4bd2-8fa6-5604b6d0cddc
id_unspecified_0005,1,"[""informal"",""colloquial""]","[""Indonesia"",""Jakarta""]","[""To leave something as it is; not to touch, change, or interfere with it.""]",1,2025-11-15 05:25:26.393823,2025-11-15 05:25:26.494881,biarin,2174e7fc-7c5d-4e2a-b19c-401185b96dc6
id_unspecified_0024,2,"[""colloquial"",""internet slang"",""idiomatic""]","[""Indonesia""]","[""Figuratively, a sarcastic or rhetorical response to an obvious statement meaning 'you think?' or 'you don't say?', used to express surprise-mocking or to highlight the obviousness of something.""]",1,2025-11-15 05:25:26.394675,2025-11-15 05:25:26.494881,menurut ngana,248fc8c0-b4d0-47b9-8fbb-ecea434c15db
id_unspecified_0019,1,"[""literal""]","[""Indonesia"",""Malaysia""]","[""Literally 'to eat wind': to take in or consume wind or air (literal meaning, rarely used).""]",1,2025-11-15 05:25:26.394162,2025-11-15 05:25:26.494881,makan angin,28813424-076b-4c18-bca4-2a70ac6891d2
id_unspecified_0037,1,"[""neutral""]","[""Indonesia""]","[""Literally, 'the valiant red one'; a personified expression referring to something red or splendid in hue.""]",1,2025-11-15 05:25:26.394896,2025-11-15 05:25:26.494881,si jago merah,29a90a8d-3964-4e80-9f24-50cf962c942a
id_unspecified_0008,1,"[""neutral"",""idiomatic""]","[""Indonesia""]","[""Literally 'one-night love'; a romantic or sexual encounter that lasts only one night.""]",1,2025-11-15 05:25:26.393868,2025-11-15 05:25:26.494881,cinta satu malam,2b980c33-8572-4667-8f6b-c3ffbedc4d53
id_unspecified_0038,1,"[""colloquial""]","[""Indonesia""]","[""Literally, 'already fallen, then struck by a ladder'; an image of falling and then being hit by a ladder.""]",1,2025-11-15 05:25:26.394911,2025-11-15 05:25:26.494881,"sudah jatuh, tertimpa tangga",2dee01a4-5a59-4eee-b005-499176fe05b3
id_unspecified_0005,2,"[""informal"",""colloquial"",""slang""]","[""Indonesia"",""Jakarta""]","[""Used as an imperative or response meaning 'let it be', 'never mind', 'don't worry about it', or 'leave him/her/them alone'.""]",1,2025-11-15 05:25:26.393832,2025-11-15 05:25:26.494881,biarin,32c6f2ed-f61a-48b9-a792-e3a47e1aee97
id_unspecified_0035,1,"[""neutral""]","[""Indonesia"",""Malaysia""]","[""Literally, 'to drink water while diving'; to perform the action of drinking while one is diving.""]",1,2025-11-15 05:25:26.394846,2025-11-15 05:25:26.494881,sambil menyelam minum air,33f1a9b4-5460-43d3-a7c1-2716be5379d0
id_unspecified_0000,1,"[""neutral"",""literal""]","[""Indonesia""]","[""A literal question meaning 'is there anything?' or 'is something the matter?' used to ask whether something exists or is wrong.""]",1,2025-11-15 05:25:26.393698,2025-11-15 05:25:26.494881,ada apa,366b823f-0e69-4bb5-a619-9bb07fd74e45
id_unspecified_0043,2,"[""idiomatic"",""proverbial""]","[""Indonesia"",""Malaysia""]","[""People who lack substance, knowledge, or ability often make the most noise or boast the most; empty vessels make the most sound.""]",1,2025-11-15 05:25:26.394995,2025-11-15 05:25:26.494881,tong kosong nyaring bunyinya,3b33897b-5951-40d6-a90f-3c3c753db7d1
id_unspecified_0021,1,"[""informal"",""idiomatic""]","[""Indonesia""]","[""Literally, 'time of being ignorant' or 'a period of not knowing'; a direct compositional reading of the words rather than a common literal referent.""]",1,2025-11-15 05:25:26.394222,2025-11-15 05:25:26.494881,masa bodoh,3dbb8f9d-cec2-49bd-93ba-2ee205753f3b
id_unspecified_0006,2,"[""informal"",""slang""]","[""Indonesia""]","[""Expresses indifference or apathy; 'I don't care' or 'whatever'.""]",1,2025-11-15 05:25:26.39385,2025-11-15 05:25:26.494881,bodo amat,4728c435-bb5e-4f32-b34d-553931c91ddb
id_unspecified_0031,2,"[""colloquial"",""affectionate""]","[""Malay"",""Indonesian""]","[""figurative: a person one adores or cherishes; a beloved, darling, or romantic idol.""]",1,2025-11-15 05:25:26.394793,2025-11-15 05:25:26.494881,pujaan hati,47931ebd-ac9b-43be-a193-5d0fd9d05bac
id_unspecified_0033,1,"[""neutral""]","[""Malay"",""Indonesian""]","[""literal translation: 'light-handed' or 'light of hand.'""]",1,2025-11-15 05:25:26.394813,2025-11-15 05:25:26.494881,ringan tangan,482d49b6-0ca0-4583-81a5-84a849b29002
id_unspecified_0027,1,"[""neutral"",""literal""]","[""Indonesia""]","[""A substance, such as a spray or coil, used to repel or kill mosquitoes and other insects.""]",1,2025-11-15 05:25:26.394723,2025-11-15 05:25:26.494881,obat nyamuk,488be34a-808a-477b-b501-f67df7aea6d1
id_unspecified_0028,2,"[""idiomatic"",""colloquial""]","[""Indonesia""]","[""A person who steals or habitually takes things that do not belong to them; someone with 'sticky fingers.'""]",1,2025-11-15 05:25:26.394754,2025-11-15 05:25:26.494881,panjang tangan,4916cfa9-ddfd-47ae-8ce6-01daf68e6aea
id_unspecified_0031,1,"[""colloquial"",""affectionate""]","[""Malay"",""Indonesian""]","[""literal translation: 'the heart's adored one.'""]",1,2025-11-15 05:25:26.394787,2025-11-15 05:25:26.494881,pujaan hati,4ae18715-aeaf-4495-877f-31660bb9e481
id_unspecified_0023,1,"[""colloquial"",""idiomatic"",""proverbial""]","[""Indonesia""]","[""Literally, 'to receive an upturned/overturned banana'; a concrete image referring to an easily obtained object.""]",1,2025-11-15 05:25:26.394259,2025-11-15 05:25:26.494881,mendapat pisang terkubak,579ef410-5ed2-4e00-aa01-69897989358b
id_unspecified_0026,1,"[""neutral"",""literal""]","[""Indonesia""]","[""Rice that has been cooked until it has become porridge.""]",1,2025-11-15 05:25:26.394708,2025-11-15 05:25:26.494881,nasi sudah menjadi bubur,57dfde12-0cf4-48f7-abb2-fc269d25860c
id_unspecified_0045,1,"[""neutral"",""colloquial""]","[""Indonesia"",""Malaysia""]","[""To cover or close something physically, often intensively or repeatedly.""]",1,2025-11-15 05:25:26.395029,2025-11-15 05:25:26.494881,tutup-tutupi,587b5e80-aaa2-4115-b233-e6b918d0104b
id_unspecified_0017,2,"[""informal"",""colloquial"",""idiomatic""]","[""Indonesia""]","[""Used derogatorily to say someone has nothing better to do, implying they waste time on trivial, bothersome, or unnecessary activities.""]",1,2025-11-15 05:25:26.394141,2025-11-15 05:25:26.494881,kurang kerjaan,58f52d99-a032-4dce-ab57-c568346aa209
id_unspecified_0006,1,"[""informal"",""slang""]","[""Indonesia""]","[""Literally 'very stupid' (from 'bodoh amat').""]",1,2025-11-15 05:25:26.393841,2025-11-15 05:25:26.494881,bodo amat,5e5b9ac1-4af9-4c3f-b28c-3ff9c9ca054d
id_unspecified_0038,2,"[""colloquial""]","[""Indonesia""]","[""To suffer an additional misfortune on top of an existing one; to experience multiple setbacks in succession.""]",1,2025-11-15 05:25:26.394917,2025-11-15 05:25:26.494881,"sudah jatuh, tertimpa tangga",5f982714-5d62-479a-b96d-fcf7541c836b
id_unspecified_0042,1,"[""literal""]","[""Indonesia""]","[""Literally, hot or molten lead (metal heated until liquid).""]",1,2025-11-15 05:25:26.394972,2025-11-15 05:25:26.494881,timah panas,602a0d87-1889-4e0d-b015-424caf43a5dd
id_unspecified_0022,1,"[""idiomatic"",""proverbial""]","[""Indonesia""]","[""Literally, 'three go in, four come out'; a compositional image describing a mismatch between input and output.""]",1,2025-11-15 05:25:26.394242,2025-11-15 05:25:26.494881,"masuk tiga, keluar empat",60f7a391-d4f8-490b-956a-585011488330
id_unspecified_0019,2,"[""informal"",""idiomatic"",""colloquial""]","[""Indonesia"",""Malaysia""]","[""To go out for a leisurely walk or outing to enjoy fresh air and relaxation.""]",1,2025-11-15 05:25:26.394178,2025-11-15 05:25:26.494881,makan angin,619aa73b-927b-4fc4-a965-7dcd3851f412
id_unspecified_0029,1,"[""neutral"",""literal""]","[""Indonesia""]","[""The act or process of making something darker; darkening.""]",1,2025-11-15 05:25:26.394761,2025-11-15 05:25:26.494881,penggelapan,62660b6d-0652-4a1e-97e5-04c54b792d4f
id_unspecified_0041,3,"[""figurative"",""colloquial""]","[""Indonesia"",""Malaysia""]","[""To be inactive, dormant, or not functioning (often used figuratively of objects, systems, or organizations).""]",1,2025-11-15 05:25:26.394964,2025-11-15 05:25:26.494881,tidur,6416f7a1-1a13-4890-9d03-7117c3ad7cc9
