idiom_id,sense_number,register,region,definitions,version,created_at,updated_at,idiom,meaning_id
hi_unspecified_0000,1,"[""colloquial"",""derogatory""]","[""India"",""Hindi-speaking regions""]","[""Literal: literally, 'prince of eggs'; a figurative image without a real physical referent.""]",1,2025-11-15 05:25:41.415082,2025-11-15 05:25:41.545391,अंडे का शहज़ादा,010b32e9-ccac-4db7-b5cf-8d0d1d59a664
hi_unspecified_0013,1,"[""proverbial"",""formal""]","[""India"",""Hindi-speaking regions"",""widely understood internationally""]","[""Literal translation of the proverb 'Necessity is the mother of invention.'""]",1,2025-11-15 05:25:41.415431,2025-11-15 05:25:41.545391,आवश्यकता आविष्कार की जननी है,01149cd2-e6f6-4cb2-8899-71d347a47fe9
hi_unspecified_0180,2,"[""colloquial"",""informal""]","[""India"",""Hindi-speaking regions""]","[""Figurative: to be able to take action or operate effectively; to have the capacity or mobility to manage tasks or affairs.""]",1,2025-11-15 05:25:41.419532,2025-11-15 05:25:41.545391,हाथ पाँव चलना,012ea2db-7fb2-4eef-86ed-901c3972cf38
hi_unspecified_0021,2,"[""colloquial"",""informal"",""derogatory""]","[""India"",""Hindi-speaking regions""]","[""To make a fool of someone; to deceive, trick, or treat someone as foolish.""]",1,2025-11-15 05:25:41.415847,2025-11-15 05:25:41.545391,उल्लू बनाना,016c9858-03fc-417c-a8ae-ee2f1fb88f93
hi_unspecified_0099,1,"[""neutral""]","[""India"",""Hindi-speaking regions""]","[""Distant drums sound pleasant; a literal observation that sounds from afar may seem attractive.""]",1,2025-11-15 05:25:41.417661,2025-11-15 05:25:41.545391,दूर के ढोल सुहावने,01bd6f62-f4cc-4647-afc9-5e7d7b7c30de
hi_unspecified_0166,1,"[""proverbial"",""traditional""]","[""North India"",""Punjabi/Hindi cultural sphere""]","[""Literal: if the head is intact, a thousand turbans are possible.""]",1,2025-11-15 05:25:41.419226,2025-11-15 05:25:41.545391,सर सलामत तो पगड़ी हज़ार,01dfc45a-01ef-4b76-ade6-044866ce114f
hi_unspecified_0073,2,"[""neutral"",""colloquial""]","[""India"",""South Asia"",""Hindi""]","[""To become suddenly alert or startled awake, often as a result of a noise, thought, or strong emotion.""]",1,2025-11-15 05:25:41.417188,2025-11-15 05:25:41.545391,जाग जाना,0250240c-2321-4ded-989c-68271086cc2d
hi_unspecified_0166,2,"[""proverbial"",""formal""]","[""Pan-Indian"",""North India""]","[""Figurative: one's safety or survival is more important than external honors or possessions; as long as the essential thing (life, reputation, or core interest) is preserved, material or decorative losses can be recovered.""]",1,2025-11-15 05:25:41.419236,2025-11-15 05:25:41.545391,सर सलामत तो पगड़ी हज़ार,02812f7e-61a4-47df-81d2-0b4ac5a35914
hi_unspecified_0014,1,"[""colloquial"",""pejorative""]","[""India"",""Hindi-speaking regions""]","[""Literal: a snake concealed within a sleeve or something that hides danger close to the body.""]",1,2025-11-15 05:25:41.415452,2025-11-15 05:25:41.545391,आस्तीन का सांप,0312e7cd-0211-4680-9a2a-73ae7ce2281f
hi_unspecified_0090,1,"[""colloquial"",""informal""]","[""India"",""Hindi-speaking regions""]","[""Literal: to be the eggplant on the plate; to be something merely present on a plate with no further implication.""]",1,2025-11-15 05:25:41.417495,2025-11-15 05:25:41.545391,थाली का बैगन होना,03b1876a-7180-4179-bfb4-dd6215ab5f5d
hi_unspecified_0004,2,"[""proverbial"",""colloquial""]","[""India"",""Hindi-speaking regions""]","[""Figurative: someone with limited knowledge, skill, or resources makes more noise, shows off, or causes more trouble than one who is full or competent; implies that superficial competence often leads to greater visible faults or boastfulness.""]",1,2025-11-15 05:25:41.4152,2025-11-15 05:25:41.545391,अधजल गगरी छलकत जाय,04b835c3-7ef3-4ea1-a157-fdb711d7f814
hi_unspecified_0095,1,"[""neutral""]","[""India"",""Hindi-speaking regions""]","[""To see stars during the daytime; a literal, physically unlikely observation.""]",1,2025-11-15 05:25:41.41759,2025-11-15 05:25:41.545391,दिन में तारे देखना,055082ed-7c80-44ec-b83e-4696cc627a4e
hi_unspecified_0125,2,"[""proverbial"",""colloquial"",""figurative""]","[""India"",""Hindi-speaking regions""]","[""Figurative: Used to warn that a brief or ill‑found advantage or happiness will not last for someone who is soon likely to face consequences; implying that current rejoicing is premature.""]",1,2025-11-15 05:25:41.418284,2025-11-15 05:25:41.545391,बकरे की माँ कब तक ख़ैर मनायेगी,0588bd00-e8e7-4d76-8316-2f11460ca47e
hi_unspecified_0029,2,"[""colloquial"",""formal""]","[""India"",""Hindi-speaking regions""]","[""Figurative: The collection of hesitations, objections, or qualifications (the 'ifs and buts'); reservations or caveats presented in an argument or discussion.""]",1,2025-11-15 05:25:41.41622,2025-11-15 05:25:41.545391,किंतु-परंतु,05a4e806-675f-4360-ac06-c862dff99076
hi_unspecified_0164,1,"[""neutral"",""literal""]","[""India"",""Hindi-speaking regions""]","[""Literal: To sing together with someone; to accompany another person or group in singing.""]",1,2025-11-15 05:25:41.419173,2025-11-15 05:25:41.545391,संग गाना,06518309-98bb-4835-a3d7-c03a4daf61d9
hi_unspecified_0016,2,"[""poetic"",""reflective""]","[""India"",""South Asia""]","[""An observation that the workings of fate or divine illusion are unpredictable, bringing joy at some times and sorrow at others.""]",1,2025-11-15 05:25:41.415512,2025-11-15 05:25:41.545391,ईश्वर की माया कहीं धूप कहीं छाया,085dddba-10ff-4f9c-b097-26846875e9e6
hi_unspecified_0118,2,"[""colloquial"",""informal""]","[""India (Hindi-speaking regions)""]","[""Figurative: completely or utterly; used for emphatic totality or thoroughness.""]",1,2025-11-15 05:25:41.418146,2025-11-15 05:25:41.545391,पूरा का पूरा,08d67aa8-a52b-4315-8e89-ed5c51ac73a0
hi_unspecified_0074,2,"[""figurative"",""formal""]","[""India"",""South Asia"",""Hindi""]","[""To become aware, enlightened, or consciously attentive to an issue, often used for moral, social, political, or spiritual awakening.""]",1,2025-11-15 05:25:41.41721,2025-11-15 05:25:41.545391,जागृत हो जाना,095925ec-237c-4d8e-a188-0c18b317b6ce
hi_unspecified_0113,2,"[""colloquial"",""informal""]","[""India"",""Hindi""]","[""To do good deeds without being asked and without seeking recognition or reward; proactive, unprompted benevolence.""]",1,2025-11-15 05:25:41.418014,2025-11-15 05:25:41.545391,नेकी और पूछ पूछ,09b16562-0217-483a-abed-553c683f84cf
hi_unspecified_0069,1,"[""neutral"",""literal""]","[""India"",""Hindi-speaking regions""]","[""To warm one's hands in a house that is on fire.""]",1,2025-11-15 05:25:41.417123,2025-11-15 05:25:41.545391,जलते घर में हाथ सेंकना,0a91a3ba-ad46-4668-ad46-d907fb8a5633
