idiom_id,sense_number,register,region,definitions,version,created_at,updated_at,idiom,meaning_id
te_unspecified_0061,3,"[""formal"",""neutral""]","[""Telugu-speaking regions (Andhra Pradesh and Telangana)""]","[""To signal assent, a vote, or a request to speak by raising one's hand.""]",1,2025-11-15 05:25:13.255104,2025-11-15 05:25:13.363788,చేతులెత్తు,01102d7d-56b4-43cd-a0c1-343d3ad4a324
te_unspecified_0067,2,"[""colloquial""]","[""Telugu (Andhra Pradesh)"",""Telugu (Telangana)""]","[""Figurative: to proceed or act in a clumsy, hesitant, or uncertain manner.""]",1,2025-11-15 05:25:13.255203,2025-11-15 05:25:13.363788,తాబేలునడక,013013a2-31d6-43b9-adce-76c8bd037ff4
te_unspecified_0013,2,"[""literary"",""archaic""]","[""Andhra Pradesh"",""Telangana"",""India""]","[""An older or literary term denoting a sudden attack, fit, or intense affliction (used in poetic or figurative contexts).""]",1,2025-11-15 05:25:13.253982,2025-11-15 05:25:13.363788,ఆవంత,016f7124-0622-47be-8eb6-2bc6a8e5f72c
te_unspecified_0092,1,"[""neutral"",""colloquial""]","[""Telugu-speaking regions"",""Andhra Pradesh"",""Telangana""]","[""Literal: a tiger that has the color or appearance of a goat.""]",1,2025-11-15 05:25:13.255596,2025-11-15 05:25:13.363788,మేక వన్నె పులి,01b1042e-796f-40aa-801e-6513655b5129
te_unspecified_0004,1,"[""neutral"",""formal""]","[""Telugu-speaking regions""]","[""A picture, painting, or representation of the sky; an astronomical chart or sky map.""]",1,2025-11-15 05:25:13.253776,2025-11-15 05:25:13.363788,ఆకాశచిత్రము,02843860-f469-4f9a-83bd-a9ef5f86a69a
te_unspecified_0065,2,"[""colloquial""]","[""Telugu (Andhra Pradesh)"",""Telugu (Telangana)""]","[""Figurative: to regain confidence, pride, or status; to assert oneself after humiliation or difficulty.""]",1,2025-11-15 05:25:13.255156,2025-11-15 05:25:13.363788,తలయెత్తుకొను,038fa450-5501-486b-9bdd-14d12ebce930
te_unspecified_0029,2,"[""colloquial"",""religious"",""literary""]","[""Andhra Pradesh"",""Telangana"",""India""]","[""An eye-opener or awakening; an event, teaching, or experience that suddenly makes someone aware, enlightened, or conscience-struck.""]",1,2025-11-15 05:25:13.254569,2025-11-15 05:25:13.363788,కనువిప్పు,03990e0e-2d2d-46f3-9e47-ed2a0875e3b0
te_unspecified_0067,1,"[""colloquial""]","[""Telugu (Andhra Pradesh)"",""Telugu (Telangana)""]","[""Literal: to walk with an unsteady, waddling, or awkward gait (as a tadpole or similar creature).""]",1,2025-11-15 05:25:13.255196,2025-11-15 05:25:13.363788,తాబేలునడక,04eb0bfb-0e13-437d-8cc6-8bc7059156fd
te_unspecified_0014,2,"[""proverbial"",""colloquial"",""idiomatic""]","[""Andhra Pradesh"",""Telangana"",""India""]","[""Figurative: this is the consequence of your own actions; you are responsible for what has resulted from what you yourself initiated.""]",1,2025-11-15 05:25:13.254001,2025-11-15 05:25:13.363788,ఇది తమరు పెట్టిన వృక్షమే,053c5c5f-468b-495e-9771-ad5348a0e5b7
te_unspecified_0001,1,"[""neutral""]","[""Telugu-speaking regions""]","[""To pour ghee (clarified butter) onto a fire, literally increasing its fuel and intensity.""]",1,2025-11-15 05:25:13.253718,2025-11-15 05:25:13.363788,అగ్నికి అజ్యం పోయు,065948c6-ab43-4266-b5df-81062faa2179
